job_id,job_date,vehicle_brand,vehicle_model,region,battery_type,is_mobile,parts_cost,labor_hours,hourly_rate,travel_cost,discount_pct,total_price,margin,customer_id,vehicle_age_years,mileage_at_install,avg_temp_c,failed_within_1y
1,2022-02-07 09:42:11,Toyota,RAV4 Hybrid,North,NiMH_Premium,0,1269.06,2.65,99,0.0,0.0,1768.24,236.42,1958,8.2,154914.0,28.8,0
4,2024-02-18 19:19:42,Chevrolet,Malibu Hybrid,West,NiMH_Premium,1,1202.75,3.96,101,48.82,0.1,1873.37,222.23,1614,9.6,95268.0,17.0,0
5,2023-09-11 05:11:26,Chevrolet,Malibu Hybrid,North,NiMH_Premium,0,1337.76,4.05,114,0.0,0.15,1917.54,118.14,1833,6.3,144361.0,12.3,1
6,2022-08-10 22:49:31,Lexus,RX 450h,North,LiIon_Standard,0,1569.13,2.78,102,0.0,0.05,2155.07,302.14,2297,7.6,167975.0,24.8,0
10,2022-11-29 15:51:05,Toyota,Prius,East,NiMH_Premium,0,1230.73,3.87,127,0.0,0.05,1979.95,257.35,1593,10.7,105528.0,4.0,0
11,2023-02-24 21:51:06,Hyundai,Ioniq Hybrid,South,LiIon_Standard,0,1302.22,3.72,99,0.0,0.2,1641.3,-28.95,2621,5.9,62447.0,25.3,0
12,2022-06-22 01:32:31,Nissan,Rogue Hybrid,South,NiMH_Premium,0,1459.82,2.93,134,0.0,0.0,2267.62,415.07,2238,3.9,67448.0,8.0,0
13,2023-02-04 15:43:29,Kia,Optima Hybrid,North,NiMH_Standard,0,810.11,4.36,127,0.0,0.0,1851.45,487.7,2683,6.1,92939.0,22.6,0
15,2022-09-04 07:48:33,Kia,Niro Hybrid,North,LiIon_Standard,0,1284.9,2.43,104,0.0,0.05,1783.91,246.59,1711,5.3,102159.0,14.7,0
16,2024-12-08 09:12:57,Lexus,ES 300h,West,NiMH_Premium,0,1022.35,2.63,104,0.0,0.1,1306.8,11.4,1528,6.2,118554.0,20.2,0
17,2022-11-03 09:24:56,Hyundai,Sonata Hybrid,North,LiIon_Premium,0,1677.4,2.1,126,0.0,0.05,2237.17,294.91,1619,2.8,119367.0,32.6,0
18,2022-07-18 06:33:20,Honda,CR-V Hybrid,North,LiIon_Standard,1,1234.39,3.5,121,48.48,0.0,2174.87,468.76,2144,8.7,109106.0,12.1,0
19,2023-08-24 06:51:44,Lexus,RX 450h,South,NiMH_Premium,0,1269.31,3.23,87,0.0,0.05,1880.9,330.51,1504,10.6,147169.0,11.0,0
20,2022-12-16 04:00:26,Chevrolet,Volt,North,NiMH_Standard,0,910.96,3.49,127,0.0,0.0,1640.32,286.39,1780,5.6,89569.0,18.5,1
24,2023-07-12 13:19:24,Nissan,Altima Hybrid,East,NiMH_Standard,1,1090.33,3.3,92,37.91,0.2,1505.52,73.59,1847,6.0,170587.0,28.7,0
25,2022-01-24 17:46:59,Lexus,RX 450h,West,NiMH_Standard,0,928.44,3.08,111,0.0,0.05,1626.88,356.67,2518,7.4,157603.0,19.3,0
26,2022-02-18 02:25:53,Kia,Niro Hybrid,North,NiMH_Standard,0,895.71,2.12,89,0.0,0.0,1497.16,412.8,1860,5.3,154672.0,18.3,0
27,2022-04-12 07:29:52,Chevrolet,Malibu Hybrid,West,LiIon_Standard,1,1384.43,2.92,89,59.19,0.15,1960.2,257.04,1866,11.0,93620.0,19.2,0
28,2022-06-27 01:12:49,Lexus,ES 300h,West,LiIon_Standard,0,1230.7,2.79,124,0.0,0.0,1947.25,370.13,2316,5.3,115343.0,11.0,0
29,2023-01-18 15:12:57,Hyundai,Ioniq Hybrid,West,NiMH_Premium,0,1215.61,4.41,102,0.0,0.1,1810.54,144.96,1220,6.4,148914.0,19.3,0
30,2024-10-21 02:21:29,Chevrolet,Volt,East,NiMH_Standard,0,878.92,2.15,117,0.0,0.0,1559.93,429.33,1710,5.7,112003.0,15.3,0
31,2024-09-19 07:03:50,Chevrolet,Volt,East,NiMH_Standard,0,724.68,3.27,134,0.0,0.15,1169.27,7.07,1278,11.0,92034.0,27.3,0
33,2024-12-21 08:02:27,Toyota,RAV4 Hybrid,East,NiMH_Premium,1,1147.08,2.55,124,46.95,0.0,1807.91,297.22,2419,7.3,90429.0,23.6,0
34,2023-11-27 10:14:18,Hyundai,Ioniq Hybrid,North,NiMH_Standard,1,870.89,3.22,90,41.96,0.2,1194.38,-8.41,1349,14.0,92378.0,8.7,0
35,2023-08-30 07:06:36,Nissan,Rogue Hybrid,West,NiMH_Standard,1,943.65,2.83,123,55.48,0.05,1449.15,101.81,1406,9.1,73563.0,16.0,0
36,2024-05-17 14:19:04,Toyota,RAV4 Hybrid,East,LiIon_Premium,1,1852.7,3.0,100,54.92,0.0,2644.28,437.14,2145,11.5,234814.0,21.7,0
38,2022-10-18 15:44:18,Lexus,RX 450h,South,LiIon_Standard,1,1259.61,2.61,96,65.77,0.0,1873.66,298.19,1245,7.0,41907.0,11.1,0
41,2024-01-18 13:04:21,Honda,Accord Hybrid,South,LiIon_Premium,1,1628.65,2.92,119,25.0,0.05,2420.47,419.11,2162,5.2,80768.0,10.4,0
42,2022-07-06 00:50:43,Lexus,ES 300h,South,NiMH_Premium,0,1176.43,3.29,121,0.0,0.15,1704.59,130.19,2049,7.9,143841.0,14.8,0
43,2024-10-24 06:21:30,Kia,Optima Hybrid,South,LiIon_Standard,0,1370.3,3.18,86,0.0,0.1,1834.52,190.6,2616,6.0,92744.0,20.4,0
44,2022-11-08 19:14:13,Ford,Fusion Hybrid,North,LiIon_Premium,1,1738.45,3.52,133,15.37,0.15,2427.4,206.03,2947,2.0,105932.0,25.3,0
45,2024-06-16 20:53:38,Toyota,RAV4 Hybrid,South,NiMH_Premium,0,1073.18,3.25,106,0.0,0.05,1718.3,300.25,1207,11.0,135808.0,19.6,0
47,2022-03-11 10:23:25,Chevrolet,Volt,West,NiMH_Premium,0,1313.33,2.74,131,0.0,0.05,1857.8,185.57,1660,8.1,161294.0,35.2,0
49,2023-10-07 17:14:56,Kia,Niro Hybrid,South,NiMH_Standard,0,1046.89,1.86,89,0.0,0.0,1414.4,202.16,2791,5.9,109063.0,13.3,0
51,2022-01-01 08:31:26,Lexus,ES 300h,South,LiIon_Premium,0,1681.23,4.41,130,0.0,0.1,2542.05,287.5,2620,9.1,156881.0,23.2,0
52,2022-05-22 11:34:19,Honda,Accord Hybrid,South,LiIon_Standard,0,1342.97,1.23,119,0.0,0.0,1752.81,263.5,2334,8.1,52103.0,10.2,0
53,2022-07-06 00:36:42,Ford,Fusion Hybrid,East,NiMH_Standard,0,896.91,3.95,94,0.0,0.0,1606.52,337.84,2446,12.2,95761.0,29.3,0
54,2024-10-10 15:10:15,Chevrolet,Malibu Hybrid,West,NiMH_Standard,0,965.41,2.34,120,0.0,0.0,1573.56,326.96,2913,9.3,139793.0,27.5,0
56,2022-06-27 07:32:19,Toyota,Prius,East,LiIon_Premium,0,1659.51,1.24,102,0.0,0.0,2243.99,458.21,2552,7.5,198928.0,23.0,0
57,2024-07-06 09:30:02,Hyundai,Sonata Hybrid,North,NiMH_Standard,0,656.9,2.81,94,0.0,0.15,934.44,13.21,1537,10.1,81384.0,5.8,0
58,2024-08-20 19:28:34,Honda,Insight,North,NiMH_Standard,0,963.26,4.16,119,0.0,0.05,1777.15,318.47,1519,7.9,74342.0,22.9,0
59,2022-08-17 20:04:57,Kia,Niro Hybrid,South,LiIon_Premium,0,1655.16,3.57,131,0.0,0.0,2598.62,475.71,2170,8.6,133656.0,12.3,0
60,2023-12-14 06:00:00,Kia,Optima Hybrid,North,LiIon_Premium,1,1793.35,2.73,87,41.75,0.1,2254.34,181.71,2803,11.7,122127.0,21.2,0
61,2023-08-09 05:13:52,Nissan,Rogue Hybrid,East,LiIon_Premium,0,1757.8,1.45,115,0.0,0.15,2090.18,166.13,1101,4.5,91263.0,7.8,0
62,2023-09-24 15:55:12,Kia,Niro Hybrid,East,NiMH_Standard,0,858.28,1.94,97,0.0,0.1,1244.91,198.25,2002,5.4,71332.0,19.9,0
63,2022-12-07 21:37:51,Ford,Escape Hybrid,East,NiMH_Standard,1,1022.76,4.11,122,42.72,0.05,1906.95,339.89,1404,6.7,99444.0,15.5,1
64,2024-04-02 17:10:52,Nissan,Altima Hybrid,South,NiMH_Premium,0,1224.58,2.72,91,0.0,0.0,1823.71,351.48,2768,7.2,140849.0,12.6,0
66,2024-03-05 23:15:09,Ford,Fusion Hybrid,South,LiIon_Premium,1,1683.43,3.23,95,55.69,0.1,2408.06,362.39,1084,11.5,106672.0,22.1,0
67,2024-09-15 23:00:46,Nissan,Rogue Hybrid,North,NiMH_Standard,1,1102.03,1.96,128,30.2,0.2,1257.69,-125.13,1003,3.8,166846.0,17.6,0
68,2022-05-02 00:37:41,Ford,Escape Hybrid,North,LiIon_Standard,1,1214.41,3.33,89,26.95,0.05,1870.15,332.8,2279,7.9,114559.0,16.6,0
69,2023-12-21 11:24:19,Toyota,Camry Hybrid,East,LiIon_Premium,0,1661.28,2.66,114,0.0,0.1,2362.57,397.56,1464,6.3,144060.0,23.2,0
70,2024-12-30 09:58:09,Chevrolet,Volt,West,LiIon_Premium,0,1551.52,3.23,91,0.0,0.0,2319.33,473.43,1082,13.1,131139.0,31.3,0
71,2023-08-10 13:33:35,Lexus,ES 300h,North,LiIon_Standard,0,1387.21,2.54,114,0.0,0.0,2118.91,442.42,1304,10.7,103853.0,19.9,0
72,2024-10-28 08:51:43,Honda,Insight,East,LiIon_Premium,0,1630.14,1.74,123,0.0,0.0,2335.78,491.43,1308,8.7,153325.0,5.4,0
73,2023-01-17 11:21:05,Chevrolet,Volt,East,NiMH_Standard,0,843.6,2.66,122,0.0,0.0,1475.71,307.82,1691,10.9,71309.0,7.1,1
74,2024-09-08 18:26:12,Honda,CR-V Hybrid,West,NiMH_Premium,0,1137.97,3.51,86,0.0,0.05,1888.71,448.66,2436,4.0,97857.0,18.5,0
76,2023-11-13 09:45:30,Chevrolet,Malibu Hybrid,East,LiIon_Premium,0,1549.91,3.02,99,0.0,0.1,2010.78,161.42,2064,14.1,103444.0,25.2,1
77,2024-02-11 12:36:52,Ford,Fusion Hybrid,East,LiIon_Premium,1,1430.81,3.72,119,40.95,0.05,2248.3,334.03,2894,5.5,135262.0,18.9,0
78,2023-07-27 10:57:22,Honda,CR-V Hybrid,West,NiMH_Standard,0,954.92,2.84,133,0.0,0.0,1804.59,472.33,2582,11.8,145233.0,21.6,0
79,2022-12-14 01:39:57,Hyundai,Sonata Hybrid,North,NiMH_Standard,0,646.37,3.05,90,0.0,0.1,993.94,73.52,1330,9.7,87393.0,17.6,0
81,2024-11-19 20:46:38,Nissan,Altima Hybrid,North,NiMH_Standard,1,1087.02,3.77,128,69.95,0.0,2134.34,495.41,1462,8.8,81756.0,24.7,1
82,2022-01-17 08:32:34,Chevrolet,Malibu Hybrid,West,LiIon_Standard,0,1280.29,3.23,92,0.0,0.2,1627.6,49.85,2926,11.6,123143.0,22.3,0
83,2022-08-13 13:39:33,Honda,Accord Hybrid,North,NiMH_Standard,1,1055.94,2.55,98,39.82,0.0,1764.07,417.97,2693,11.0,58494.0,10.9,0
84,2023-07-01 22:03:30,Lexus,ES 300h,North,LiIon_Standard,0,1297.09,1.81,112,0.0,0.0,1988.03,488.36,1128,8.3,160313.0,21.1,0
86,2023-11-15 00:39:51,Kia,Optima Hybrid,South,NiMH_Premium,1,1145.25,2.4,99,65.64,0.0,1774.63,325.68,1882,6.7,111047.0,7.2,0
88,2023-12-23 06:47:56,Ford,Fusion Hybrid,North,LiIon_Premium,0,1690.41,4.88,124,0.0,0.1,2558.35,262.56,2104,8.4,73218.0,21.1,0
90,2022-12-30 16:37:30,Lexus,RX 450h,South,NiMH_Premium,0,1264.2,4.29,101,0.0,0.05,1975.15,277.78,2256,7.7,72427.0,16.0,0
91,2024-01-29 15:04:45,Chevrolet,Malibu Hybrid,East,NiMH_Premium,0,1138.16,2.57,100,0.0,0.15,1515.16,120.05,2296,9.1,132525.0,19.1,0
93,2024-02-21 11:25:48,Lexus,ES 300h,East,LiIon_Standard,0,1416.53,3.02,113,0.0,0.05,2097.65,339.71,1531,11.1,131443.0,20.3,0
94,2023-11-28 18:14:33,Chevrolet,Malibu Hybrid,North,LiIon_Standard,1,1289.73,3.29,96,44.04,0.0,2039.37,389.5,1076,9.4,89263.0,20.0,0
96,2023-04-14 23:52:07,Ford,Fusion Hybrid,West,LiIon_Premium,0,1637.91,2.78,130,0.0,0.2,2043.84,44.91,2405,8.6,115445.0,27.9,0
98,2024-11-19 12:54:46,Kia,Optima Hybrid,South,LiIon_Standard,0,1391.43,2.28,132,0.0,0.0,2222.07,530.02,2384,6.0,74832.0,18.2,0
101,2023-06-22 14:53:29,Lexus,ES 300h,South,LiIon_Premium,1,1822.17,3.82,95,55.06,0.1,2460.4,220.44,1804,9.0,109663.0,19.3,0
102,2022-01-02 09:28:26,Honda,Accord Hybrid,East,LiIon_Premium,1,1717.37,1.68,92,65.53,0.0,2446.05,508.59,2788,2.9,179022.0,27.3,0
103,2023-11-26 08:31:53,Lexus,ES 300h,South,NiMH_Premium,0,1240.57,3.44,111,0.0,0.15,1734.41,112.12,2028,5.6,205222.0,31.3,1
104,2022-01-26 11:47:05,Toyota,Camry Hybrid,East,NiMH_Premium,1,1003.68,2.49,105,50.3,0.0,1664.28,349.36,2278,9.8,111530.0,17.9,0
106,2024-01-26 21:05:21,Lexus,ES 300h,North,LiIon_Premium,1,1734.48,2.99,85,71.03,0.15,2286.04,226.46,1605,10.7,137274.0,14.4,0
107,2024-06-08 20:49:09,Lexus,ES 300h,East,LiIon_Standard,0,1292.33,2.57,129,0.0,0.15,1625.45,1.36,1960,7.9,135693.0,14.8,0
108,2023-03-28 20:18:47,Kia,Niro Hybrid,North,NiMH_Standard,0,943.31,2.69,93,0.0,0.0,1444.7,251.15,2371,8.6,51159.0,21.2,0
109,2024-06-04 14:13:56,Chevrolet,Volt,East,NiMH_Standard,0,850.89,2.32,104,0.0,0.05,1215.06,122.92,1302,9.1,74006.0,16.6,0
111,2023-05-06 01:27:08,Ford,Escape Hybrid,West,LiIon_Standard,0,1270.97,2.16,131,0.0,0.1,1838.09,284.01,2110,10.0,27374.0,5.8,1
112,2022-07-09 10:50:41,Lexus,ES 300h,West,LiIon_Standard,0,1244.3,2.79,121,0.0,0.05,1856.09,274.65,1607,7.4,137963.0,25.9,0
115,2024-09-05 01:43:52,Hyundai,Ioniq Hybrid,North,NiMH_Premium,0,1083.78,2.99,118,0.0,0.05,1680.84,243.94,2759,5.1,197815.0,23.7,0
117,2024-04-12 05:29:14,Toyota,RAV4 Hybrid,North,NiMH_Standard,1,848.06,3.22,124,51.53,0.05,1561.3,262.57,2668,9.2,162633.0,26.0,0
