job_id,job_date,vehicle_brand,vehicle_model,region,job_type,battery_type,is_mobile,parts_cost,labor_hours,hourly_rate,travel_cost,discount_pct,total_price,margin,customer_id,is_repeat_customer
1,02-07-2022,toyota,RAV4 Hybrid,North,Install,NiMH_Premium,0,1269.06,2.65,99,0.0,0.0,1768.24,236.42,1958,1
2,29/02/2024,LEXUS ,RX 450h,East,Diagnostic,LiIon_Standard,0,124.88,1.41,129,0.0,0.0,357.21,50.02,1477,0
3,08-23-2022, kia,Optima Hybrid,West,Diagnostic,NiMH_Standard,0,92.42,1.71,134,0.0,0.05,460.82,139.13,2494,0
4,2024-02-18,CHEVROLET ,Malibu Hybrid,West,Install,NiMH_Premium,1,1202.75,3.96,101,48.82,0.1,1873.37,222.23,1614,0
5,2023-09-11,CHEVROLET ,Malibu Hybrid,North,Install,NiMH_Premium,0,1337.76,4.05,114,0.0,0.15,1917.54,118.14,1833,1
6,10/08/2022,Lexus  ,RX 450h,North,Install,LiIon_Standard,0,1569.13,2.78,102,0.0,0.05,2155.07,302.14,2297,0
7,05-30-2023, toyota,Camry Hybrid,West,Diagnostic,LiIon_Premium,0,107.45,1.2,120,0.0,0.0,315.65,64.53,1993,0
8,2022-02-10,kia,Optima Hybrid,West,Diagnostic,LiIon_Standard,0,86.19,0.5,122,0.0,0.0,146.3,-0.89,2208,0
9,2024-02-08, honda,CR-V Hybrid,South,Diagnostic,LiIon_Standard,1,92.98,1.1,97,64.6,0.0,395.66,131.19,1196,1
10,2022-11-29, toyota,Prius,East,Install,NiMH_Premium,0,1230.73,3.87,127,0.0,0.05,1979.95,257.35,1593,0
11,02-24-2023,HYUNDAI,Ioniq Hybrid,South,Install,LiIon_Standard,0,1302.22,3.72,99,0.0,0.2,1641.3,-28.95,2621,1
12,2022-06-22,nissan,Rogue Hybrid,South,Install,NiMH_Premium,0,1459.82,2.93,134,0.0,0.0,2267.62,415.07,2238,1
13,04/02/2023,Kia Motors,Optima Hybrid,North,Install,NiMH_Standard,0,810.11,4.36,127,0.0,0.0,1851.45,487.7,2683,1
14,10/03/2023,Lexus  ,ES 300h,North,Diagnostic,LiIon_Standard,0,114.65,1.01,85,0.0,0.1,184.66,-15.67,2930,0
15,04/09/2022,Kia Motors,Niro Hybrid,North,Install,LiIon_Standard,0,1284.9,2.43,104,0.0,0.05,1783.91,246.59,1711,0
16,12-08-2024,LEXUS ,ES 300h,West,Install,NiMH_Premium,0,1022.35,2.63,104,0.0,0.1,1306.8,11.4,1528,1
17,03/11/2022,hyundai,Sonata Hybrid,North,Install,LiIon_Premium,0,1677.4,2.1,126,0.0,0.05,2237.17,294.91,1619,1
18,2022-07-18, honda,,North,Install,,1,1234.39,3.5,121,48.48,0.0,2174.87,468.76,2144,1
19,24/08/2023,Lexus  ,RX 450h,South,Install,NiMH_Premium,0,1269.31,3.23,87,0.0,0.05,1880.9,330.51,1504,1
20,2022-12-16,chevy,Volt,North,Install,NiMH_Standard,0,910.96,3.49,127,0.0,0.0,1640.32,286.39,1780,0
21,05-13-2023,HYUNDAI,Ioniq Hybrid,North,Warranty_Replacement,NiMH_Standard,1,777.36,1.71,95,52.15,0.1,1073.06,81.11,1346,0
22,03-05-2024, ford,Fusion Hybrid,East,Diagnostic,NiMH_Premium,0,124.13,1.17,103,0.0,0.0,418.0,173.26,1771,1
23,03-27-2022,Honda ,Accord Hybrid,South,Diagnostic,NiMH_Premium,1,112.7,0.5,93,32.4,0.05,405.15,213.55,2895,0
24,12/07/2023,NISSAN,Altima Hybrid,East,Install,NiMH_Standard,1,1090.33,3.3,92,37.91,0.2,1505.52,73.59,1847,1
25,24/01/2022,LEXUS ,,,Install,NiMH_Standard,0,928.44,3.08,111,0.0,0.05,1626.88,356.67,2518,1
26,18/02/2022,kia,Niro Hybrid,North,Install,NiMH_Standard,0,895.71,2.12,89,0.0,0.0,1497.16,412.8,1860,0
27,04-12-2022, chev,Malibu Hybrid,West,Install,LiIon_Standard,1,1384.43,2.92,89,59.19,0.15,1960.2,257.04,1866,0
28,06-27-2022,LEXUS ,ES 300h,West,Install,LiIon_Standard,0,1230.7,2.79,124,0.0,0.0,1947.25,370.13,2316,1
29,18/01/2023,Hundai,Ioniq Hybrid,West,Install,NiMH_Premium,0,1215.61,4.41,102,0.0,0.1,1810.54,144.96,1220,1
30,10-21-2024,CHEVROLET ,Volt,East,Install,,0,878.92,2.15,117,0.0,0.0,1559.93,429.33,1710,0
31,19/09/2024,CHEVROLET ,Volt,East,Install,NiMH_Standard,0,724.68,3.27,134,0.0,0.15,1169.27,7.07,1278,0
32,04-23-2022,Hnda,Insight,East,Diagnostic,NiMH_Standard,1,83.82,0.65,87,62.04,0.0,140.81,-62.01,1397,1
33,2024-12-21,toyota,RAV4 Hybrid,East,Install,NiMH_Premium,1,1147.08,2.55,124,46.95,0.0,1807.91,297.22,2419,1
34,27/11/2023,HYUNDAI,Ioniq Hybrid,North,Install,NiMH_Standard,1,870.89,3.22,90,41.96,0.2,1194.38,-8.41,1349,1
35,08-30-2023,Nissan ,Rogue Hybrid,West,Install,NiMH_Standard,1,943.65,2.83,123,55.48,0.05,1449.15,101.81,1406,0
36,2024-05-17,toyota,RAV4 Hybrid,East,Install,LiIon_Premium,1,1852.7,3.0,100,54.92,0.0,2644.28,437.14,2145,0
37,15/06/2023,LEXUS ,RX 450h,East,Diagnostic,NiMH_Premium,0,54.54,1.37,91,0.0,0.0,146.98,-31.9,1695,0
38,2022-10-18,Lexus  ,RX 450h,South,Install,LiIon_Standard,1,1259.61,2.61,96,65.77,0.0,1873.66,298.19,1245,1
39,03/08/2023,For d,Escape Hybrid,North,Diagnostic,NiMH_Standard,1,57.05,1.64,103,38.84,0.0,376.52,111.5,2914,0
40,2024-03-04,kia,Niro Hybrid,South,Diagnostic,NiMH_Standard,1,55.09,1.05,121,70.5,0.05,264.17,11.86,2846,0
41,18/01/2024, honda,Accord Hybrid,South,Install,,1,1628.65,2.92,119,25.0,0.05,2420.47,419.11,2162,0
42,07-06-2022,lexus,ES 300h,South,Install,NiMH_Premium,0,1176.43,3.29,121,0.0,0.15,1704.59,130.19,2049,0
43,10-24-2024,KIA,Optima Hybrid,South,Install,LiIon_Standard,0,1370.3,3.18,86,0.0,0.1,1834.52,190.6,2616,0
44,08/11/2022,ford,Fusion Hybrid,North,Install,LiIon_Premium,1,1738.45,3.52,133,15.37,0.15,2427.4,206.03,2947,1
45,2024-06-16,TOYOTA,RAV4 Hybrid,South,Install,NiMH_Premium,0,1073.18,3.25,106,0.0,0.05,1718.3,300.25,1207,0
46,12-08-2022,NISSAN,Altima Hybrid,South,Warranty_Replacement,NiMH_Standard,0,1055.3,2.33,90,0.0,0.0,1555.59,290.74,1195,1
47,11/03/2022,Chevrolet,Volt,,Install,NiMH_Premium,0,1313.33,2.74,131,0.0,0.05,1857.8,185.57,1660,0
48,27/12/2024,Nissan ,Rogue Hybrid,North,Diagnostic,NiMH_Standard,0,52.96,0.67,124,0.0,0.0,190.7,55.2,1609,1
49,07/10/2023,Kia Motors,Niro Hybrid,South,Install,NiMH_Standard,0,1046.89,1.86,89,0.0,0.0,1414.4,202.16,2791,0
50,08-23-2022,LEXUS ,RX 450h,North,Warranty_Replacement,NiMH_Standard,0,939.23,0.83,106,0.0,0.1,1183.05,155.79,2016,0
51,2022-01-01,lexus,ES 300h,South,Install,LiIon_Premium,0,1681.23,4.41,130,0.0,0.1,2542.05,287.5,2620,0
52,2022-05-22,Hnda,,South,Install,LiIon_Standard,0,1342.97,1.23,119,0.0,0.0,1752.81,263.5,2334,1
53,06/07/2022,FORD,Fusion Hybrid,East,Install,NiMH_Standard,0,896.91,3.95,94,0.0,0.0,1606.52,337.84,2446,1
54,10/10/2024, chev,Malibu Hybrid,West,Install,NiMH_Standard,0,965.41,2.34,120,0.0,0.0,1573.56,326.96,2913,1
55,07-13-2022,chevy,Volt,North,Diagnostic,LiIon_Standard,1,85.62,1.79,94,27.49,0.05,309.16,27.49,2174,0
56,27/06/2022,Toyota ,Prius,East,Install,LiIon_Premium,0,1659.51,1.24,102,0.0,0.0,2243.99,458.21,2552,0
57,2024-07-06,HYUNDAI,Sonata Hybrid,North,Install,NiMH_Standard,0,656.9,2.81,94,0.0,0.15,934.44,13.21,1537,1
58,2024-08-20,HONDA,,North,Install,NiMH_Standard,0,963.26,4.16,119,0.0,0.05,1777.15,318.47,1519,0
59,08-17-2022,KIA,Niro Hybrid,South,Install,LiIon_Premium,0,1655.16,3.57,131,0.0,0.0,2598.62,475.71,2170,1
60,14/12/2023,kia,Optima Hybrid,North,Install,LiIon_Premium,1,1793.35,2.73,87,41.75,0.1,2254.34,181.71,2803,1
61,08-09-2023,Nisan,,East,Install,LiIon_Premium,0,1757.8,1.45,115,0.0,0.15,2090.18,166.13,1101,1
62,2023-09-24,Kia Motors,Niro Hybrid,East,Install,NiMH_Standard,0,858.28,1.94,97,0.0,0.1,1244.91,198.25,2002,0
63,2022-12-07,For d,Escape Hybrid,East,Install,NiMH_Standard,1,1022.76,4.11,122,42.72,0.05,1906.95,339.89,1404,0
64,2024-04-02,nissan,Altima Hybrid,South,Install,,0,1224.58,2.72,91,0.0,0.0,1823.71,351.48,2768,0
65,22/08/2024,CHEVROLET ,Malibu Hybrid,East,Warranty_Replacement,NiMH_Standard,1,919.64,1.95,103,44.36,0.1,1170.77,5.96,2036,1
66,2024-03-05,ford,Fusion Hybrid,South,Install,LiIon_Premium,1,1683.43,3.23,95,55.69,0.1,2408.06,362.39,1084,1
67,2024-09-15,NISSAN,Rogue Hybrid,North,Install,NiMH_Standard,1,1102.03,1.96,128,30.2,0.2,1257.69,-125.13,1003,0
68,05-02-2022,ford ,Escape Hybrid,,Install,LiIon_Standard,1,1214.41,3.33,89,26.95,0.05,1870.15,332.8,2279,1
69,12-21-2023, toyota,Camry Hybrid,,Install,LiIon_Premium,0,1661.28,2.66,114,0.0,0.1,2362.57,397.56,1464,0
70,30/12/2024, chev,Volt,West,Install,LiIon_Premium,0,1551.52,3.23,91,0.0,0.0,2319.33,473.43,1082,0
71,10/08/2023,LEXUS ,ES 300h,,Install,LiIon_Standard,0,1387.21,2.54,114,0.0,0.0,2118.91,442.42,1304,0
72,28/10/2024,HONDA,Insight,East,Install,LiIon_Premium,0,1630.14,1.74,123,0.0,0.0,2335.78,491.43,1308,1
73,17/01/2023, chev,Volt,East,Install,NiMH_Standard,0,843.6,2.66,122,0.0,0.0,1475.71,307.82,1691,0
74,2024-09-08,HONDA,CR-V Hybrid,West,Install,NiMH_Premium,0,1137.97,3.51,86,0.0,0.05,1888.71,448.66,2436,0
75,10-24-2024,Kia Motors,Optima Hybrid,South,Warranty_Replacement,NiMH_Standard,0,907.53,2.28,123,0.0,0.0,1416.87,229.41,2716,0
76,2023-11-13,chevy,Malibu Hybrid,East,Install,,0,1549.91,3.02,99,0.0,0.1,2010.78,161.42,2064,0
77,02-11-2024,FORD,Fusion Hybrid,East,Install,LiIon_Premium,1,1430.81,3.72,119,40.95,0.05,2248.3,334.03,2894,0
78,07-27-2023,Hnda,CR-V Hybrid,West,Install,NiMH_Standard,0,954.92,2.84,133,0.0,0.0,1804.59,472.33,2582,0
