job_id,job_date,vehicle_brand,vehicle_model,region,job_type,battery_type,is_mobile,parts_cost,labor_hours,hourly_rate,travel_cost,discount_pct,total_price,margin,customer_id,is_repeat_customer
1,2022-02-07 09:42:11,Toyota,RAV4 Hybrid,North,Install,NiMH_Premium,0,1269.06,2.65,99,0.0,0.0,1768.24,236.42,1958,1
2,2024-02-29 04:44:31,Lexus,RX 450h,East,Diagnostic,LiIon_Standard,0,124.88,1.41,129,0.0,0.0,357.21,50.02,1477,0
3,2022-08-23 06:49:15,Kia,Optima Hybrid,West,Diagnostic,NiMH_Standard,0,92.42,1.71,134,0.0,0.05,460.82,139.13,2494,0
4,2024-02-18 19:19:42,Chevrolet,Malibu Hybrid,West,Install,NiMH_Premium,1,1202.75,3.96,101,48.82,0.1,1873.37,222.23,1614,0
5,2023-09-11 05:11:26,Chevrolet,Malibu Hybrid,North,Install,NiMH_Premium,0,1337.76,4.05,114,0.0,0.15,1917.54,118.14,1833,1
6,2022-08-10 22:49:31,Lexus,RX 450h,North,Install,LiIon_Standard,0,1569.13,2.78,102,0.0,0.05,2155.07,302.14,2297,0
7,2023-05-30 03:22:55,Toyota,Camry Hybrid,West,Diagnostic,LiIon_Premium,0,107.45,1.2,120,0.0,0.0,315.65,64.53,1993,0
8,2022-02-10 03:18:13,Kia,Optima Hybrid,West,Diagnostic,LiIon_Standard,0,86.19,0.5,122,0.0,0.0,146.3,-0.89,2208,0
9,2024-02-08 11:20:19,Honda,CR-V Hybrid,South,Diagnostic,LiIon_Standard,1,92.98,1.1,97,64.6,0.0,395.66,131.19,1196,1
10,2022-11-29 15:51:05,Toyota,Prius,East,Install,NiMH_Premium,0,1230.73,3.87,127,0.0,0.05,1979.95,257.35,1593,0
11,2023-02-24 21:51:06,Hyundai,Ioniq Hybrid,South,Install,LiIon_Standard,0,1302.22,3.72,99,0.0,0.2,1641.3,-28.95,2621,1
12,2022-06-22 01:32:31,Nissan,Rogue Hybrid,South,Install,NiMH_Premium,0,1459.82,2.93,134,0.0,0.0,2267.62,415.07,2238,1
13,2023-02-04 15:43:29,Kia,Optima Hybrid,North,Install,NiMH_Standard,0,810.11,4.36,127,0.0,0.0,1851.45,487.7,2683,1
14,2023-03-10 09:19:16,Lexus,ES 300h,North,Diagnostic,LiIon_Standard,0,114.65,1.01,85,0.0,0.1,184.66,-15.67,2930,0
15,2022-09-04 07:48:33,Kia,Niro Hybrid,North,Install,LiIon_Standard,0,1284.9,2.43,104,0.0,0.05,1783.91,246.59,1711,0
16,2024-12-08 09:12:57,Lexus,ES 300h,West,Install,NiMH_Premium,0,1022.35,2.63,104,0.0,0.1,1306.8,11.4,1528,1
17,2022-11-03 09:24:56,Hyundai,Sonata Hybrid,North,Install,LiIon_Premium,0,1677.4,2.1,126,0.0,0.05,2237.17,294.91,1619,1
18,2022-07-18 06:33:20,Honda,CR-V Hybrid,North,Install,LiIon_Standard,1,1234.39,3.5,121,48.48,0.0,2174.87,468.76,2144,1
19,2023-08-24 06:51:44,Lexus,RX 450h,South,Install,NiMH_Premium,0,1269.31,3.23,87,0.0,0.05,1880.9,330.51,1504,1
20,2022-12-16 04:00:26,Chevrolet,Volt,North,Install,NiMH_Standard,0,910.96,3.49,127,0.0,0.0,1640.32,286.39,1780,0
21,2023-05-13 02:08:20,Hyundai,Ioniq Hybrid,North,Warranty_Replacement,NiMH_Standard,1,777.36,1.71,95,52.15,0.1,1073.06,81.11,1346,0
22,2024-03-05 00:00:15,Ford,Fusion Hybrid,East,Diagnostic,NiMH_Premium,0,124.13,1.17,103,0.0,0.0,418.0,173.26,1771,1
23,2022-03-27 15:42:20,Honda,Accord Hybrid,South,Diagnostic,NiMH_Premium,1,112.7,0.5,93,32.4,0.05,405.15,213.55,2895,0
24,2023-07-12 13:19:24,Nissan,Altima Hybrid,East,Install,NiMH_Standard,1,1090.33,3.3,92,37.91,0.2,1505.52,73.59,1847,1
25,2022-01-24 17:46:59,Lexus,RX 450h,West,Install,NiMH_Standard,0,928.44,3.08,111,0.0,0.05,1626.88,356.67,2518,1
26,2022-02-18 02:25:53,Kia,Niro Hybrid,North,Install,NiMH_Standard,0,895.71,2.12,89,0.0,0.0,1497.16,412.8,1860,0
27,2022-04-12 07:29:52,Chevrolet,Malibu Hybrid,West,Install,LiIon_Standard,1,1384.43,2.92,89,59.19,0.15,1960.2,257.04,1866,0
28,2022-06-27 01:12:49,Lexus,ES 300h,West,Install,LiIon_Standard,0,1230.7,2.79,124,0.0,0.0,1947.25,370.13,2316,1
29,2023-01-18 15:12:57,Hyundai,Ioniq Hybrid,West,Install,NiMH_Premium,0,1215.61,4.41,102,0.0,0.1,1810.54,144.96,1220,1
30,2024-10-21 02:21:29,Chevrolet,Volt,East,Install,NiMH_Standard,0,878.92,2.15,117,0.0,0.0,1559.93,429.33,1710,0
31,2024-09-19 07:03:50,Chevrolet,Volt,East,Install,NiMH_Standard,0,724.68,3.27,134,0.0,0.15,1169.27,7.07,1278,0
32,2022-04-23 23:10:33,Honda,Insight,East,Diagnostic,NiMH_Standard,1,83.82,0.65,87,62.04,0.0,140.81,-62.01,1397,1
33,2024-12-21 08:02:27,Toyota,RAV4 Hybrid,East,Install,NiMH_Premium,1,1147.08,2.55,124,46.95,0.0,1807.91,297.22,2419,1
34,2023-11-27 10:14:18,Hyundai,Ioniq Hybrid,North,Install,NiMH_Standard,1,870.89,3.22,90,41.96,0.2,1194.38,-8.41,1349,1
35,2023-08-30 07:06:36,Nissan,Rogue Hybrid,West,Install,NiMH_Standard,1,943.65,2.83,123,55.48,0.05,1449.15,101.81,1406,0
36,2024-05-17 14:19:04,Toyota,RAV4 Hybrid,East,Install,LiIon_Premium,1,1852.7,3.0,100,54.92,0.0,2644.28,437.14,2145,0
37,2023-06-15 11:06:29,Lexus,RX 450h,East,Diagnostic,NiMH_Premium,0,54.54,1.37,91,0.0,0.0,146.98,-31.9,1695,0
38,2022-10-18 15:44:18,Lexus,RX 450h,South,Install,LiIon_Standard,1,1259.61,2.61,96,65.77,0.0,1873.66,298.19,1245,1
39,2023-08-03 23:26:57,Ford,Escape Hybrid,North,Diagnostic,NiMH_Standard,1,57.05,1.64,103,38.84,0.0,376.52,111.5,2914,0
40,2024-03-04 23:02:59,Kia,Niro Hybrid,South,Diagnostic,NiMH_Standard,1,55.09,1.05,121,70.5,0.05,264.17,11.86,2846,0
41,2024-01-18 13:04:21,Honda,Accord Hybrid,South,Install,LiIon_Premium,1,1628.65,2.92,119,25.0,0.05,2420.47,419.11,2162,0
42,2022-07-06 00:50:43,Lexus,ES 300h,South,Install,NiMH_Premium,0,1176.43,3.29,121,0.0,0.15,1704.59,130.19,2049,0
43,2024-10-24 06:21:30,Kia,Optima Hybrid,South,Install,LiIon_Standard,0,1370.3,3.18,86,0.0,0.1,1834.52,190.6,2616,0
44,2022-11-08 19:14:13,Ford,Fusion Hybrid,North,Install,LiIon_Premium,1,1738.45,3.52,133,15.37,0.15,2427.4,206.03,2947,1
45,2024-06-16 20:53:38,Toyota,RAV4 Hybrid,South,Install,NiMH_Premium,0,1073.18,3.25,106,0.0,0.05,1718.3,300.25,1207,0
46,2022-12-08 10:40:58,Nissan,Altima Hybrid,South,Warranty_Replacement,NiMH_Standard,0,1055.3,2.33,90,0.0,0.0,1555.59,290.74,1195,1
47,2022-03-11 10:23:25,Chevrolet,Volt,West,Install,NiMH_Premium,0,1313.33,2.74,131,0.0,0.05,1857.8,185.57,1660,0
48,2024-12-27 02:18:41,Nissan,Rogue Hybrid,North,Diagnostic,NiMH_Standard,0,52.96,0.67,124,0.0,0.0,190.7,55.2,1609,1
49,2023-10-07 17:14:56,Kia,Niro Hybrid,South,Install,NiMH_Standard,0,1046.89,1.86,89,0.0,0.0,1414.4,202.16,2791,0
50,2022-08-23 22:57:35,Lexus,RX 450h,North,Warranty_Replacement,NiMH_Standard,0,939.23,0.83,106,0.0,0.1,1183.05,155.79,2016,0
